comarca,cultivo,tipo_riego,year,produccion_tn
Pirineos,Trigo blando,Total,2019,63755.215
Pirineos,Trigo blando,Total,2021,49465.043
Pirineos,Trigo blando,Total,2023,44307.604
Pirineos,Trigo blando,Total,2025,49537.6
Ribera Alta-Aragón,Cebada,Regadío,2015,18788.944
Ribera Alta-Aragón,Cebada,Regadío,2017,22633.566
Ribera Alta-Aragón,Cebada,Regadío,2019,24451.717
Ribera Alta-Aragón,Cebada,Regadío,2021,14587.1
Ribera Alta-Aragón,Cebada,Regadío,2023,19960.815
Ribera Alta-Aragón,Cebada,Regadío,2025,25458.5
Ribera Alta-Aragón,Cebada,Secano,2015,60388.626
Ribera Alta-Aragón,Cebada,Secano,2017,56222.199
Ribera Alta-Aragón,Cebada,Secano,2019,36131.907
Ribera Alta-Aragón,Cebada,Secano,2021,38800.608
Ribera Alta-Aragón,Cebada,Secano,2023,21278.163
Ribera Alta-Aragón,Cebada,Secano,2025,54950.28
Ribera Alta-Aragón,Cebada,Total,2015,79177.56999999999
Ribera Alta-Aragón,Cebada,Total,2017,78855.765
Ribera Alta-Aragón,Cebada,Total,2019,60583.623999999996
Ribera Alta-Aragón,Cebada,Total,2021,53387.708
Ribera Alta-Aragón,Cebada,Total,2023,41238.978
Ribera Alta-Aragón,Cebada,Total,2025,80408.78
Ribera Alta-Aragón,Trigo blando,Regadío,2015,24735.396
Ribera Alta-Aragón,Trigo blando,Regadío,2017,29372.52
Ribera Alta-Aragón,Trigo blando,Regadío,2019,28253.718
Ribera Alta-Aragón,Trigo blando,Regadío,2021,31229.510000000002
Ribera Alta-Aragón,Trigo blando,Regadío,2023,26778.773999999998
Ribera Alta-Aragón,Trigo blando,Regadío,2025,28841.699999999997
Ribera Alta-Aragón,Trigo blando,Secano,2015,15801.785
Ribera Alta-Aragón,Trigo blando,Secano,2017,17826.879
Ribera Alta-Aragón,Trigo blando,Secano,2019,20540.528000000002
Ribera Alta-Aragón,Trigo blando,Secano,2021,27643.469
Ribera Alta-Aragón,Trigo blando,Secano,2023,14602.104000000001
Ribera Alta-Aragón,Trigo blando,Secano,2025,35432.0
Ribera Alta-Aragón,Trigo blando,Total,2015,40537.181
Ribera Alta-Aragón,Trigo blando,Total,2017,47199.399000000005
Ribera Alta-Aragón,Trigo blando,Total,2019,48794.246
Ribera Alta-Aragón,Trigo blando,Total,2021,58872.97900000001
Ribera Alta-Aragón,Trigo blando,Total,2023,41380.878
Ribera Alta-Aragón,Trigo blando,Total,2025,64273.7
Ribera Baja,Cebada,Regadío,2015,19688.966
Ribera Baja,Cebada,Regadío,2017,22325.805
Ribera Baja,Cebada,Regadío,2019,21910.325
Ribera Baja,Cebada,Regadío,2021,16042.421999999999
Ribera Baja,Cebada,Regadío,2023,19979.208000000002
Ribera Baja,Cebada,Regadío,2025,20285.25
Ribera Baja,Cebada,Secano,2015,18387.2
Ribera Baja,Cebada,Secano,2017,16803.65
Ribera Baja,Cebada,Secano,2019,9233.12
Ribera Baja,Cebada,Secano,2021,7071.610000000001
Ribera Baja,Cebada,Secano,2023,1495.5010000000002
Ribera Baja,Cebada,Secano,2025,27170.6
Ribera Baja,Cebada,Total,2015,38076.166
Ribera Baja,Cebada,Total,2017,39129.455
Ribera Baja,Cebada,Total,2019,31143.445
Ribera Baja,Cebada,Total,2021,23114.032
Ribera Baja,Cebada,Total,2023,21474.709000000003
Ribera Baja,Cebada,Total,2025,47455.85
Ribera Baja,Trigo blando,Regadío,2015,19622.533000000003
Ribera Baja,Trigo blando,Regadío,2017,15808.795
Ribera Baja,Trigo blando,Regadío,2019,18233.622
Ribera Baja,Trigo blando,Regadío,2021,19910.503999999997
Ribera Baja,Trigo blando,Regadío,2023,19159.518
Ribera Baja,Trigo blando,Regadío,2025,17216.55
Ribera Baja,Trigo blando,Secano,2015,13104.848
Ribera Baja,Trigo blando,Secano,2017,10308.635
Ribera Baja,Trigo blando,Secano,2019,7197.576999999999
Ribera Baja,Trigo blando,Secano,2021,6442.9259999999995
Ribera Baja,Trigo blando,Secano,2023,845.918
Ribera Baja,Trigo blando,Secano,2025,25270.0
Ribera Baja,Trigo blando,Total,2015,32727.381
Ribera Baja,Trigo blando,Total,2017,26117.43
Ribera Baja,Trigo blando,Total,2019,25431.199
Ribera Baja,Trigo blando,Total,2021,26353.429999999997
Ribera Baja,Trigo blando,Total,2023,20005.436
Ribera Baja,Trigo blando,Total,2025,42486.55
Tierra Estella,Cebada,Regadío,2015,4388.608
Tierra Estella,Cebada,Regadío,2017,4512.435
Tierra Estella,Cebada,Regadío,2019,4210.45
Tierra Estella,Cebada,Regadío,2021,2898.5550000000003
