cloud_cover_pct_mean,comarca,data_source,ndbi_max,ndbi_mean,ndbi_min,ndbi_stdDev,ndvi_max,ndvi_mean,ndvi_min,ndvi_stdDev,ndwi_max,ndwi_mean,ndwi_min,ndwi_stdDev,scene_count,schema_version,valid_pixel_count,window_end,window_id,window_start
61.20795141666667,Nordoccidental,GEE/COPERNICUS/S2_SR_HARMONIZED,1.0,-0.054693379247906335,-0.9630851745605469,0.1665860986270821,1.0,0.541774074311303,-1.0,0.16903380961557815,1.0,-0.5846283243997215,-1.0,0.16467733586379538,12,v1.0,13029903,2022-01-01,W-20211219,2021-12-19
70.0581739375,Nordoccidental,GEE/COPERNICUS/S2_SR_HARMONIZED,0.7420465350151062,-0.4577635605519327,-0.8875259160995483,0.1379451578785502,0.9390172362327576,0.043519560617070505,-0.5070422291755676,0.1314367725006393,0.4059754014015198,-0.049426245754632704,-0.8727061152458191,0.13476591470530225,16,v1.0,12649873,2021-02-18,W-20210202,2021-02-02
40.690431312499996,Nordoccidental,GEE/COPERNICUS/S2_SR_HARMONIZED,1.0,-0.2215574929118065,-0.6704420447349548,0.14156741132663567,1.0,0.7283952941153894,-1.0,0.13603228339497103,1.0,-0.6536949640876211,-0.9337849617004395,0.08747461298236639,16,v1.0,25953908,2021-05-09,W-20210423,2021-04-23
52.59724993750001,Nordoccidental,GEE/COPERNICUS/S2_SR_HARMONIZED,0.9092382788658142,-0.3013177046673128,-0.6749220490455627,0.12375710555107167,0.9523541331291199,0.7952117514332612,-0.7157360315322876,0.14898675981147333,0.8709677457809448,-0.7135121277586272,-0.9006993770599365,0.11862414015399489,16,v1.0,24648267,2021-07-28,W-20210712,2021-07-12
42.0836614375,Nordoccidental,GEE/COPERNICUS/S2_SR_HARMONIZED,1.0,-0.2549903341196541,-0.8807535767555237,0.1282316190926343,1.0,0.7425338823321099,-1.0,0.17261508983543095,1.0,-0.6893487620027433,-1.0,0.1475253920747441,16,v1.0,24947795,2021-10-16,W-20210930,2021-09-30
64.41919659999999,Pirineos,GEE/COPERNICUS/S2_SR_HARMONIZED,0.9922178983688354,-0.294835209703016,-0.9525727033615112,0.13841091392052937,1.0,0.6665048114401867,-0.9895833134651184,0.20438660694734823,0.9965635538101196,-0.5778192597054947,-1.0,0.15975780599596232,5,v1.0,22806036,2021-05-25,W-20210509,2021-05-09
61.382895999999995,Pirineos,GEE/COPERNICUS/S2_SR_HARMONIZED,0.9942693114280701,-0.5157693776275803,-0.9975240230560303,0.19843975392058014,0.9993810057640076,0.2027650020020798,-0.9893617033958435,0.2644652183338547,0.9952380657196045,-0.18259032698721364,-0.9991500377655029,0.2581165730660045,6,v1.0,13135484,2021-01-17,W-20210101,2021-01-01
78.28115000000001,Pirineos,GEE/COPERNICUS/S2_SR_HARMONIZED,0.9918367266654968,-0.43171373549004555,-0.9805825352668762,0.23248900207956452,0.9996075630187988,0.432018684871505,-0.9906976819038391,0.3231757745498612,0.9965338110923767,-0.4285723805994259,-0.999589741230011,0.3219561380279405,6,v1.0,16321241,2021-02-02,W-20210117,2021-01-17
34.04130033333333,Pirineos,GEE/COPERNICUS/S2_SR_HARMONIZED,0.9821428656578064,-0.18806714177558684,-0.9609497785568237,0.18558489206250672,1.0,0.5810514394840385,-0.9884393215179443,0.20739957011135396,0.9956140518188477,-0.5794709824249172,-1.0,0.1868831974933633,6,v1.0,28251454,2021-03-06,W-20210218,2021-02-18
15.876327499999997,Pirineos,GEE/COPERNICUS/S2_SR_HARMONIZED,1.0,-0.1406911569128835,-0.9509627819061279,0.18001187639098176,1.0,0.6217640239373897,-1.0,0.18908103855872038,1.0,-0.6285734061228857,-1.0,0.1624882453806162,6,v1.0,31347351,2021-04-07,W-20210322,2021-03-22
50.318235833333326,Pirineos,GEE/COPERNICUS/S2_SR_HARMONIZED,1.0,-0.1692252117124129,-0.934432327747345,0.17079230390790076,1.0,0.636862205427695,-1.0,0.16918697974311162,1.0,-0.6290299108667903,-1.0,0.14075857633020505,6,v1.0,31545664,2021-04-23,W-20210407,2021-04-07
