comarca,cultivo,year,produccion_tn,ndvi_mean_annual,ndwi_mean_annual,ndbi_mean_annual,cloud_cover_pct_annual,valid_pixel_count_annual,window_count
Nordoccidental,Trigo blando,2023,4494.9,0.6502257343454945,-0.6245036669746152,-0.20975941402649123,57.492389892080745,423014179,23
Pirineos,Cebada,2019,29105.854,0.5775311034607943,-0.5512368478398961,-0.25926411476716554,43.396471126863354,592904106,23
Pirineos,Cebada,2021,20625.823999999997,0.5917996027291348,-0.5610785517802676,-0.25782262851735127,48.5662440146998,603094139,23
Pirineos,Cebada,2023,21274.32,0.6325913208332113,-0.6010033148560828,-0.245848948727027,52.26054838819876,598171930,23
Pirineos,Trigo blando,2019,63755.215,0.5775311034607943,-0.5512368478398961,-0.25926411476716554,43.396471126863354,592904106,23
Pirineos,Trigo blando,2021,49465.043,0.5917996027291348,-0.5610785517802676,-0.25782262851735127,48.5662440146998,603094139,23
Pirineos,Trigo blando,2023,44307.604,0.6325913208332113,-0.6010033148560828,-0.245848948727027,52.26054838819876,598171930,23
Ribera Alta-Aragón,Cebada,2019,60583.624,0.34413996540468084,-0.40532557284965237,-0.01736553127312239,42.6455511531406,327193482,23
Ribera Alta-Aragón,Cebada,2021,53387.708,0.37350082882078167,-0.4310354248645016,-0.008795520341710905,46.77594455588577,316899967,23
Ribera Alta-Aragón,Cebada,2023,41238.978,0.36544231829214935,-0.4239330653084185,0.01445564549789634,46.44403576346154,349866935,23
Ribera Alta-Aragón,Trigo blando,2019,48794.246,0.34413996540468084,-0.40532557284965237,-0.01736553127312239,42.6455511531406,327193482,23
Ribera Alta-Aragón,Trigo blando,2021,58872.97900000001,0.37350082882078167,-0.4310354248645016,-0.008795520341710905,46.77594455588577,316899967,23
Ribera Alta-Aragón,Trigo blando,2023,41380.878,0.36544231829214935,-0.4239330653084185,0.01445564549789634,46.44403576346154,349866935,23
Ribera Baja,Cebada,2019,31143.445,0.2873837335893044,-0.3620640243671747,0.012765180684953569,38.898451885192344,368151631,23
Ribera Baja,Cebada,2021,23114.032,0.30810802677667387,-0.3786063113663798,0.021497862335431443,45.21585855333435,349882334,23
Ribera Baja,Cebada,2023,21474.709000000003,0.2797526579098172,-0.36176017161805557,0.053995174435082324,41.93736266025641,393262832,23
Ribera Baja,Trigo blando,2019,25431.199,0.2873837335893044,-0.3620640243671747,0.012765180684953569,38.898451885192344,368151631,23
Ribera Baja,Trigo blando,2021,26353.429999999997,0.30810802677667387,-0.3786063113663798,0.021497862335431443,45.21585855333435,349882334,23
Ribera Baja,Trigo blando,2023,20005.436,0.2797526579098172,-0.36176017161805557,0.053995174435082324,41.93736266025641,393262832,23
Tierra Estella,Cebada,2019,74029.97,0.48089526592455045,-0.49849498493248,-0.1334717457285716,50.59107208333333,397486182,23
Tierra Estella,Cebada,2021,69050.715,0.47330818449781853,-0.48790140085602735,-0.14350630273063328,53.541443880434784,396487247,23
Tierra Estella,Cebada,2023,59858.463,0.5116310543497654,-0.5289581660404445,-0.08202958442748762,56.63336957971014,394406974,23
Tierra Estella,Trigo blando,2019,99254.90200000002,0.48089526592455045,-0.49849498493248,-0.1334717457285716,50.59107208333333,397486182,23
Tierra Estella,Trigo blando,2021,107675.356,0.47330818449781853,-0.48790140085602735,-0.14350630273063328,53.541443880434784,396487247,23
Tierra Estella,Trigo blando,2023,72857.884,0.5116310543497654,-0.5289581660404445,-0.08202958442748762,56.63336957971014,394406974,23
